Date,Close/Last,Volume,Open,High,Low
10/03/2024,$38.17,4294655,$37.95,$38.6077,$37.755
10/02/2024,$39.17,2911247,$39.41,$39.97,$38.845
10/01/2024,$39.18,4431281,$39.42,$39.8399,$38.772
09/30/2024,$38.58,3456631,$38.90,$39.0304,$38.27
09/27/2024,$39.27,5633106,$39.53,$40.2999,$39.0901
09/26/2024,$39.28,9517542,$38.30,$39.62,$38.00
09/25/2024,$36.01,5326774,$35.42,$36.65,$35.42
09/24/2024,$36.78,9675563,$36.50,$37.375,$36.2101
09/23/2024,$34.23,4166613,$34.13,$34.45,$33.78
09/20/2024,$33.83,9046319,$33.60,$34.055,$33.205
09/19/2024,$34.92,6439794,$35.40,$35.76,$34.80
09/18/2024,$34.34,6447959,$34.24,$35.95,$33.88
09/17/2024,$33.97,5037471,$34.01,$34.24,$33.4211
09/16/2024,$34.50,10730930,$34.26,$35.60,$33.64
09/13/2024,$32.52,5376521,$32.03,$32.96,$31.925
09/12/2024,$31.35,5888458,$30.99,$31.76,$30.60
09/11/2024,$29.86,5048503,$28.84,$29.91,$28.30
09/10/2024,$28.17,4685226,$28.78,$28.84,$27.77
09/09/2024,$28.97,5212507,$29.00,$29.21,$28.40
09/06/2024,$28.53,7356006,$30.00,$30.2274,$28.345
09/05/2024,$30.27,3016694,$30.60,$31.09,$30.11
09/04/2024,$30.48,3127984,$30.84,$31.22,$30.46
09/03/2024,$30.22,5381726,$31.13,$31.145,$29.80
08/30/2024,$32.10,3339763,$32.50,$32.595,$31.815
08/29/2024,$32.47,4672904,$32.21,$32.775,$31.70
08/28/2024,$32.09,7350376,$33.19,$33.305,$32.00
08/27/2024,$34.30,3538716,$34.35,$35.105,$34.09
08/26/2024,$34.56,5397095,$35.00,$35.18,$34.47
08/23/2024,$33.92,4113845,$32.75,$34.10,$32.51
08/22/2024,$32.52,2894986,$33.25,$33.4499,$32.365
08/21/2024,$33.29,4287675,$34.04,$34.05,$32.92
08/20/2024,$33.76,5105345,$34.10,$34.75,$33.68
08/19/2024,$34.00,7297945,$32.51,$34.14,$32.31
08/16/2024,$32.12,4350152,$31.75,$32.42,$31.70
08/15/2024,$32.09,5102259,$31.74,$32.355,$31.67
08/14/2024,$31.10,5259696,$31.81,$31.97,$30.88
08/13/2024,$31.60,4914176,$31.07,$31.715,$30.98
08/12/2024,$31.19,5599602,$31.03,$31.66,$31.01
08/09/2024,$30.56,7073596,$31.26,$31.26,$30.39
08/08/2024,$30.63,6060962,$29.61,$30.66,$29.55
08/07/2024,$29.21,9780630,$30.00,$30.52,$28.93
08/06/2024,$29.39,13447150,$28.50,$29.64,$28.20
08/05/2024,$28.44,13153600,$27.98,$28.54,$27.12
08/02/2024,$29.47,6889118,$31.05,$31.06,$29.27
08/01/2024,$31.47,18449710,$32.95,$33.27,$31.09
07/31/2024,$33.04,6746214,$32.79,$33.57,$32.76
07/30/2024,$31.77,8687812,$32.55,$32.67,$31.16
07/29/2024,$33.02,4268417,$33.20,$33.46,$32.82
07/26/2024,$33.43,5798758,$33.75,$34.18,$32.92
07/25/2024,$32.91,5914151,$32.72,$33.5423,$32.50
07/24/2024,$32.84,6360102,$33.78,$34.1796,$32.665
07/23/2024,$33.90,11913610,$33.95,$34.2761,$33.57
07/22/2024,$34.53,6116742,$34.70,$34.82,$34.22
07/19/2024,$34.92,5336980,$35.26,$35.26,$34.55
07/18/2024,$35.65,8903577,$36.70,$38.22,$35.39
07/17/2024,$36.81,7669934,$38.24,$38.68,$36.81
07/16/2024,$38.66,6208296,$38.17,$38.69,$37.46
07/15/2024,$39.30,3816328,$39.00,$40.06,$38.5518
07/12/2024,$38.95,4871111,$40.11,$40.41,$38.87
07/11/2024,$39.18,8804646,$40.31,$40.515,$38.35
07/10/2024,$38.46,6127301,$40.66,$40.80,$38.23
07/09/2024,$40.33,3075140,$41.52,$42.0896,$40.30
07/08/2024,$41.66,3001032,$42.54,$42.55,$41.31
07/05/2024,$42.44,2670187,$42.65,$43.10,$42.42
07/03/2024,$42.38,4074499,$41.59,$43.00,$41.58
07/02/2024,$40.83,4039457,$39.89,$41.15,$39.8542
07/01/2024,$39.70,3228005,$40.25,$40.87,$39.54
06/28/2024,$39.78,6829130,$39.84,$40.12,$39.10
06/27/2024,$38.82,5027286,$39.34,$39.46,$38.53
06/26/2024,$39.43,3018214,$39.82,$39.97,$38.91
06/25/2024,$39.94,3066249,$40.10,$40.19,$39.17
06/24/2024,$40.56,4962772,$40.42,$41.57,$40.42
06/21/2024,$40.40,6499933,$39.96,$40.55,$39.1123
06/20/2024,$38.98,7089761,$38.10,$39.11,$37.90
06/18/2024,$37.49,3898413,$37.01,$38.23,$36.79
06/17/2024,$37.40,3847296,$37.52,$37.73,$36.90
06/14/2024,$37.90,3228475,$37.86,$38.15,$37.21
06/13/2024,$38.54,4360673,$39.52,$39.85,$38.34
06/12/2024,$39.71,3301571,$41.64,$42.25,$39.69
06/11/2024,$40.21,3520311,$40.25,$40.46,$39.56
06/10/2024,$41.16,2950620,$41.00,$41.59,$40.64
06/07/2024,$40.91,3982794,$41.60,$41.8688,$40.42
06/06/2024,$42.65,3154841,$42.51,$43.005,$42.293
06/05/2024,$42.59,3355544,$41.85,$42.74,$41.78
06/04/2024,$42.01,6500590,$43.01,$43.2798,$41.28
06/03/2024,$44.01,3887113,$44.66,$44.96,$43.7501
05/31/2024,$44.27,4527342,$44.76,$45.46,$43.30
05/30/2024,$44.54,5824970,$43.29,$45.48,$43.18
05/29/2024,$43.93,5275412,$42.47,$44.01,$42.27
05/28/2024,$43.20,7888482,$42.80,$43.60,$42.4358
05/24/2024,$41.64,2921734,$41.59,$42.13,$41.36
05/23/2024,$41.05,4764061,$42.20,$42.2554,$40.33
05/22/2024,$42.15,6324183,$42.97,$42.97,$41.80
05/21/2024,$44.09,9390676,$42.27,$44.57,$42.18
05/20/2024,$42.53,7220293,$41.17,$42.84,$41.02
